,authors,English Title,Japanese Title,Link,Year
1,"中野茂男 (NAKANO,SHIGEO )",Some Analytic Structures Associated to Algebraic Curves ,代数曲線に附随する二三の解析的構造 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/1.html,1964
2,岩野 正宏、木村 俊房、大久保謙二郎 ,境界層と変わり点に関するシンポジウム報告(I) ,,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/2.html,1964
3,角谷 典彦、今井 巧、森口 治生 ,境界層と変わり点に関するシンポジウム報告(II) ,,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/3.html,1964
4,"阿曾義之 (ASO,YOSHIYUKI )",Numerical Solution of Singular Integral Equations ,特異積分方程式の数値解法 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/4.html,1965
5,Proceeding of the Conference on Operator Ring and Its Applications to Physics 作用素環とその物理的応用に関する研究会報告集 ,Proceeding of the Conference on Operator Ring and Its Applications to Physics ,作用素環とその物理的応用に関する研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/5.html,1965
6,Proceeding of the Conference on the Mathematics for Scattering Theory 散乱の理論の数学に関する研究会報告集 ,Proceeding of the Conference on the Mathematics for Scattering Theory ,散乱の理論の数学に関する研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/6.html,1965
7,Reports on the Symposium of the Numerical Computations in Hydrodynamics 流体力学における数値計算シンポジウム報告 ,Reports on the Symposium of the Numerical Computations in Hydrodynamics ,流体力学における数値計算シンポジウム報告 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/7.html,1965
8,Reports on the Symposium of the Functional Equations in the Optimal Control Problems 1 最適制御問題の函数方程式研究シンポジウム報告１ ,Reports on the Symposium of the Functional Equations in the Optimal Control Problems 1 ,最適制御問題の函数方程式研究シンポジウム報告１ ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/8.html,1966
9,"荒木不二洋 (ARAKI,HUZIHIRO )",Proceeding of the Conference on Operator Ring ,作用素環研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/9.html,1966
10,Reports on the Symposium of the Numerical Computations for Hydrodynamics 流体力学における数値計算シンポジウム報告 ,Reports on the Symposium of the Numerical Computations for Hydrodynamics ,流体力学における数値計算シンポジウム報告 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/10.html,1966
11,Reports on the Symposium of the Functional Equations in the Optimal Control Problems 2 最適制御問題の函数方程式研究シンポジウム報告２ ,Reports on the Symposium of the Functional Equations in the Optimal Control Problems 2 ,最適制御問題の函数方程式研究シンポジウム報告２ ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/11.html,1966
12,Reports on the Seminar for Numerical Analysis 1 数値解析セミナー報告１ ,Reports on the Seminar for Numerical Analysis 1 ,数値解析セミナー報告１ ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/12.html,1966
13,"中野茂男 (NAKANO,SHIGEO )",Proceeding of the Conference on Complex Analysis and Its Applications 1 ,複素解析とその応用研究会報告１ ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/13.html,1966
14,"中野茂男 (NAKANO,SHIGEO )",Proceeding of the Conference on Complex Analysis and Its Applications 2 ,複素解析とその応用研究会報告２ ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/14.html,1966
15,"荒木不二洋 (ARAKI,HUZIHIRO )",Proceeding of the Conference on the Mathematics for Scattering Theory ,散乱の理論の数学に関する研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/15.html,1966
16,"大久保謙二郎 (OKUBO,KENJIRO )",Reports on the Symposium of the Analytic Theory of Control Problems ,制御問題の解析的研究シンポジウム報告 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/16.html,1966
17,Reports on the Seminar for Numerical Analysis 2 数値解析セミナー報告２ ,Reports on the Seminar for Numerical Analysis 2 ,数値解析セミナー報告２ ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/17.html,1966
18,"福原満洲雄 (HUKUHARA,MASUO )",Symposium on the Fundamental Theories in Numerical Analysis and the Numerical Solution of Partial Differential Equations ,数値解析の基礎理論および偏微分方程式の数値解法シンポジウム ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/18.html,1966
19,"荒木不二洋 (ARAKI,HUZIHIRO )",Proceeding of the Conference on Operator Ring ,作用素環研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/19.html,1967
20,"飛田武幸 (HIDA,TAKEYUKI )",Proceeding of the Conference on Steady Processes ,定常過程研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/20.html,1967
21,"戸田宏 (TODA,HIROSHI )",Proceeding of the Conference on the Topological Methods in Bundle Spaces ,バンドルにおける位相幾何学的方法研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/21.html,1967
22,"吉田耕作 荒木不二洋 (YOSIDA,KOSAKU ARAKI,HUZIHIRO )",Proceeding of the Conference on Partial Differential Equations by Methods of Functional Analysis and the Mathematics in Scattering Theory ,位相解析的方法による偏微分方程式論研究会及び散乱理論の数学研究会 報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/22.html,1967
23,"巽友正 (TATSUMI,TOMOMASA )",Proceeding of the Conference on the Distribution-Functional Equations of Turbulance ,乱流の分布汎函数方程式の研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/23.html,1967
24,"今井功 (IMAI,ISAO )",Proceeding of the Conference on the Nonlinear Problems in Hydrodynamics ,流体力学における非線型問題研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/24.html,1967
25,"山本純恭 (YAMAMOTO,SUMIYASU )",Proceeding of the Conference on Experimental Design ,実験計画法研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/25.html,1967
26,Ideal Boundaries of Kuramochi Type and Analysis 倉持型理想境界と解析学 ,Ideal Boundaries of Kuramochi Type and Analysis ,倉持型理想境界と解析学 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/26.html,1967
27,"工藤弘吉 (KUDO,HIROKICHI )",Proceeding of the Conference on the Admissibility of Statistical Decision Function ,統計的決定函数のＡｄｍｉｓｓｉｂｉｌｉｔｙの研究報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/27.html,1967
28,"北川敏男 (KITAGAWA,TOSHIO )",Proceeding of the Conference on Dynamic Programming ,動的計画法研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/28.html,1967
29,"中野茂男 (NAKANO,SHIGEO )",Reports of the Group in the Study of Deformation of Complex Manifolds ,複素多様体の変形─研究グループ報告─ ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/29.html,1967
30,"荒木不二洋 (ARAKI,HUZIHIRO )",Proceeding of the Conference on the Singularities of Optical Spectra ,光学スペクトルの特異点の研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/30.html,1967
31,"斎藤亨 (SAITO,TORU )",Algebraic Theory of Semi-Groups ,準群の代数的理論 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/31.html,1967
32,"山口昌哉 (YAMAGUTI,MASAYA )",Proceeding of the Conference on Evolution Equation and Its Numerical Analysis ,発展方程式とその数値解析研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/32.html,1967
33,"福原満洲雄 (HUKUHARA,MASUO )",Proceeding of the Conference on the Mathematical Theory of Control Problems ,制御問題の数学的研究報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/33.html,1967
34,"清水辰次郎 (SHIMIZU,TATSUJIRO )",Proceedings of the Conference on the Numerical Solutions of Differential Equations ,微分方程式の数値解法研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/34.html,1967
35,"渡辺毅 (WATANABE,TAKASHI )",Maximum Principle and the Generation of Semi-Groups ,最大値原理と半群の生成 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/35.html,1967
36,"福原満洲雄 (HUKUHARA,MASUO )",Proceeding of the Conference on Approximation Theory ,近似理論の研究報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/36.html,1968
37,"福原満洲雄 (HUKUHARA,MASUO )",Proceeding of the Conference on the Numerical Solution of Partial Differential Equations ,偏微分方程式の数値解法研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/37.html,1968
38,"斎藤利弥 (SAITO,TOSHIYA )",Proceeding of the Conference on the Ordinary Differential Equation and the Functional Differential Equation ,常微分方程式及び函数微分方程式研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/38.html,1968
39,"福原満洲雄 (HUKUHARA,MASUO )",Proceeding of the Conference on Approximation Theory ,近似理論の研究報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/39.html,1968
40,"吉田耕作 (YOSIDA,KOSAKU )",Proceeding of the Conference on Partial Differential Equations by Methods of Functional Analysis ,位相解析的方法による偏微分方程式論研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/40.html,1968
