No.,title,link,Affiliation,Author in JPN,Author in ENG
1,Pontrjagin Classes of Rational Homology Manifold (Geometry of Manifolds),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0158-01.pdf,"Bonn Univ.,東京大学理学部","HIRZEBRUCH F.[Lecture],森田 茂之[記]","HIRZEBRUCH,F.[Lecture],MORITA,SHIGEYUKI[Notes]"
2,The Notion of Near-Complex Subvariety (Geometry of Manifolds),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0158-02.pdf,"Harvard Univ.,京都大学数理解析研究所","広中 平祐[述],中野 茂男[記]","HIRONAKA,HEISUKE[Lecture],NAKANO,SHIGEO[Note]"
3,Euler-Poincare Characteristics of Complex Projective Hypersurfaces with Isolated Singularities (Geometry of Manifolds),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0158-03.pdf,東京大学教養学部,加藤 十吉,"KATO,MITSUYOSHI"
4,Smooth $S^1$-Action and Bordism (Geometry of Manifolds),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0158-04.pdf,東京大学理学部,服部 晶夫,"HATTORI,AKIO"
5,Spin-Cobordism Invariants and Some $S^1$-Manifolds (Geometry of Manifolds),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0158-05.pdf,北海道大学理学部,鈴木 治夫,"SUZUKI,HARUO"
6,Notes on the Topology of Analytic Sets (Geometry of Manifolds),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0158-06.pdf,東京大学理学部,森田 茂之,"MORITA,SHIGEYUKI"
7,Local Deformation of Polynomials with Isolated Singularities (Geometry of Manifolds),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0158-07.pdf,東京大学理学部,岡 睦雄,"OKA,MUTSUO"
8,On Mod 3 Characteristic Classes for $F_4$-Bundles (Geometry of Manifolds),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0158-08.pdf,京都大学理学部,戸田 宏,"TODA,HIROSI"
9,The Signature Theorem for Differentiable Manifolds and Some Elementary Number Theory (Geometry of Manifolds),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0158-09.pdf,"Bonn Univ.,東京大学理学部","HIRZEBRUCH F.[Lecture],森田 茂之[記]","HIRZEBRUCH,F.[Lecture],MORITA,SHIGEYUKI[Notes]"
10,G-Vector Bundles over G-Manifolds (Geometry of Manifolds),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0158-10.pdf,大阪市立大学理学部,松永 弘道,"MATSUNAGA,HIROMICHI"
11,On a Distance Function between Differentiable Structures (Geometry of Manifolds),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0158-11.pdf,名古屋大学理学部,四方 義啓,"SHIKATA,YOSHIHIRO"
